Stations,lat,lon
Flushing,40.758529,-73.830447
Murray Hill,40.762921,-73.814614
Broadway,40.761953,-73.802596
Auburndale,40.761491,-73.789872
Bayside,40.763259,-73.772038
Mets Willets Point,40.752473,-73.843702
Woodside,40.745893,-73.902817
Elmhurst,40.741386,-73.879436
Forest Hills,40.719762,-73.84471
Kew Gardens,40.709294,-73.830606
Jamaica,40.697684,-73.822388
Hollis,40.710536,-73.766297
Long island City ,40.741327,-73.959101
Hunters Point,40.742507,-73.946646
Sunnyside,40.74669,-73.935261
